source,page,content
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,50,"White Rice ข้าวเหนียว 1,966 2,000 2,195 1,959 1,992 2,191 957 986 1,098 489 495 501 Glutinous Rice สุรินทร์ 44,608 44,079 48,013 44,423 43,695 47,789 19,393 19,539 21,214 437 447 444 Surin ข้าวเจ้าปทุมธานี 1 1,400 1,382 1,505 1,400 1,375 1,479 719 721 774 514 524 523 Pathum Thani 1 ข้าวเจ้าอื่นๆ41,233 40,758 44,381 41,056 40,391 44,226 17,788 17,930 19,483 433 444 441 Other White Rice ข้าวเหนียว 1,975 1,939 2,127 1,967 1,929 2,084 886 888 957 450 460 459 Glutinous Rice ตารางที่ 1.7 ข้าวนาปรังแยกพันธุ์: เนื้อที่ ผลผลิต และผลผลิตต่อไร่ เป็นรายภาค และรายจังหวัด ปี 2566-2568 (ต่อ) Table 1.7 Second Rice Classified by Plant varieties: Area, production and yield by region and province, 2023-2025 (Continued) สถิติการเกษตรของประเทศไทย Agricultural Statistics of Thailand 22"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,51,"ข้าว: Rice ภาค/จังหวัด เนื้อที่เพาะปลูก (ไร่) Planted area (rai) เนื้อที่เก็บเกี่ยว (ไร่) Harvested area (rai) ผลผลิต (ตัน) Production (ton) ผลผลิตต่อไร่ (กก./ไร่) Yield (kg/rai) Region/ Province2566 2023 2567P 2024 2568f 2025 2566 2023 2567P 2024 2568f 2025 2566 2023 2567P 2024 2568f 2025 2566 2023 2567P 2024 2568f 2025 บุรีรัมย์ 46,676 25,174 37,955 46,611 24,796 37,765 24,214 12,314 18,464 519 497 489 Buri Ram ข้าวเจ้าปทุมธานี 1 4,030 2,573 3,909 4,030 2,558 3,889 2,015 1,214 1,837 500 475 472 Pathum Thani 1 ข้าวเจ้าอื่นๆ41,662 22,047 33,192 41,599 21,688 33,026 21,712 10,841 16,231 522 500 491 Other White Rice ข้าวเหนียว 984 554 854 982 550 850 487 259 396 496 471 466 Glutinous Rice มหาสารคาม 191,184 187,158 193,008 190,823 186,824 192,733 113,291 110,005 114,868 594 589 596 Maha Sarakham ข้าวเจ้าปทุมธานี 1 115 0 0 115 0 0 68 0 0 591 0 0 Pathum Thani 1 ข้าวเจ้าอื่นๆ179,722 176,022 181,466 179,396 175,744 181,208 106,790 103,758 108,335 595 590 598 Other White Rice ข้าวเหนียว 11,347"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,51,"179,396 175,744 181,208 106,790 103,758 108,335 595 590 598 Other White Rice ข้าวเหนียว 11,347 11,136 11,542 11,312 11,080 11,525 6,433 6,247 6,533 569 564 567 Glutinous Rice ร้อยเอ็ด 250,156 248,383 256,930 248,810 247,082 255,759 144,395 142,895 147,050 580 578 575 Roi Et ข้าวเจ้าปทุมธานี 1 1,025 994 1,053 1,025 994 1,044 558 538 564 544 541 540 Pathum Thani 1 ข้าวเจ้าอื่นๆ242,158 240,558 248,709 240,844 239,298 247,590 140,174 138,784 142,759 582 580 577 Other White Rice ข้าวเหนียว 6,973 6,831 7,168 6,941 6,790 7,125 3,663 3,573 3,727 528 526 523 Glutinous Rice กาฬสินธุ์ 279,519 277,990 285,795 278,143 276,753 284,814 182,181 182,507 189,124 655 659 664 Kalasin ข้าวเจ้าปทุมธานี 1 57 53 57 57 53 57 35 33 36 614 623 632 Pathum Thani 1 ข้าวเจ้าอื่นๆ198,443 197,348 202,972 197,379 196,474 202,363 133,305 133,315 138,021 675 679 682 Other White Rice ข้าวเหนียว 81,019 80,589 82,766 80,707 80,226 82,394 48,841 49,159 51,067 605 613 620 Glutinous Rice ขอนแก่น 147,208 143,079 150,756"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,51,"80,226 82,394 48,841 49,159 51,067 605 613 620 Glutinous Rice ขอนแก่น 147,208 143,079 150,756 146,871 142,755 150,457 83,618 79,786 85,436 569 559 568 Khon Kaen ข้าวเจ้าปทุมธานี 1 1,242 1,216 1,281 1,242 1,216 1,281 596 572 608 480 470 475 Pathum Thani 1 ข้าวเจ้าอื่นๆ113,808 110,572 116,399 113,601 110,372 116,166 66,347 63,256 67,628 584 573 582 Other White Rice ข้าวเหนียว 32,158 31,291 33,076 32,028 31,167 33,010 16,675 15,958 17,200 521 512 521 Glutinous Rice ชัยภูมิ 87,723 81,005 90,932 87,339 79,483 90,161 54,803 49,823 56,641 627 627 628 Chaiyaphum ข้าวเจ้าปทุมธานี 1 9,250 8,830 9,912 9,239 8,715 9,813 5,485 5,166 5,868 594 593 598 Pathum Thani 1 ข้าวเจ้าอื่นๆ51,688 46,982 52,558 51,396 46,003 52,085 33,448 29,969 33,952 651 651 652 Other White Rice ข้าวเหนียว 26,785 25,193 28,462 26,704 24,765 28,263 15,870 14,688 16,821 594 593 595 Glutinous Rice นครราชสีมา 270,262 94,653 158,920 269,242 93,750 158,253 173,528 58,343 97,515 645 622 616 Nakhon Ratchasima ข้าวเจ้าปทุมธานี 1"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,51,"269,242 93,750 158,253 173,528 58,343 97,515 645 622 616 Nakhon Ratchasima ข้าวเจ้าปทุมธานี 1 4,094 2,026 3,433 4,072 2,003 3,388 2,544 1,212 2,046 625 605 604 Pathum Thani 1 ข้าวเจ้าอื่นๆ266,168 92,627 155,487 265,170 91,747 154,865 170,984 57,131 95,469 645 623 616 Other White Rice สระบุรี 154,394 157,653 198,045 154,055 157,399 197,746 102,679 104,058 130,413 667 661 659 Saraburi ข้าวเจ้าปทุมธานี 1 6,908 7,094 9,051 6,888 7,080 9,037 4,666 4,753 6,055 677 671 670 Pathum Thani 1 ข้าวเจ้าอื่นๆ147,486 150,559 188,994 147,167 150,319 188,709 98,013 99,305 124,358 666 661 659 Other White Rice ลพบุรี 354,573 280,704 355,401 354,154 280,246 354,968 229,483 179,994 230,527 648 642 649 Lop Buri ข้าวเจ้าปทุมธานี 1 107,745 84,829 107,758 107,698 84,659 107,647 70,345 55,054 70,797 653 650 658 Pathum Thani 1 ข้าวเจ้าอื่นๆ246,828 195,875 247,643 246,456 195,587 247,321 159,138 124,940 159,730 646 639 646 Other White Rice สิงห์บุรี 194,865 197,821 280,780 194,625 197,544 280,513 131,276 132,294"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,51,"639 646 Other White Rice สิงห์บุรี 194,865 197,821 280,780 194,625 197,544 280,513 131,276 132,294 189,175 675 670 674 Sing Buri ข้าวเจ้าปทุมธานี 1 33,156 33,630 47,733 33,092 33,539 47,727 22,569 22,700 32,363 682 677 678 Pathum Thani 1 ข้าวเจ้าอื่นๆ158,994 161,817 232,064 158,818 161,634 231,804 106,954 108,075 156,179 673 669 674 Other White Rice ข้าวเหนียว 2,715 2,374 983 2,715 2,371 982 1,753 1,519 633 646 641 645 Glutinous Rice ชัยนาท 409,159 407,367 495,800 408,699 406,950 495,418 271,085 268,317 329,122 663 659 664 Chai Nat ข้าวเจ้าปทุมธานี 1 107,156 106,526 130,048 107,066 106,398 129,747 72,819 72,225 88,823 680 679 685 Pathum Thani 1 ข้าวเจ้าอื่นๆ302,003 300,841 365,752 301,633 300,552 365,671 198,266 196,092 240,299 657 652 657 Other White Rice ตารางที่ 1.7 ข้าวนาปรังแยกพันธุ์: เนื้อที่ ผลผลิต และผลผลิตต่อไร่ เป็นรายภาค และรายจังหวัด ปี 2566-2568 (ต่อ) Table 1.7 Second Rice Classified by Plant varieties: Area, production and yield by region and province, 2023-2025"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,52,"ข้าว: Rice ภาค/จังหวัด เนื้อที่เพาะปลูก (ไร่) Planted area (rai) เนื้อที่เก็บเกี่ยว (ไร่) Harvested area (rai) ผลผลิต (ตัน) Production (ton) ผลผลิตต่อไร่ (กก./ไร่) Yield (kg/rai) Region/ Province2566 2023 2567P 2024 2568f 2025 2566 2023 2567P 2024 2568f 2025 2566 2023 2567P 2024 2568f 2025 2566 2023 2567P 2024 2568f 2025 สุพรรณบุรี 862,872 770,396 885,430 862,361 769,851 884,858 638,586 569,786 657,135 741 740 743 Suphan Buri ข้าวเจ้าปทุมธานี 1 105,692 91,677 105,366 105,537 91,631 105,046 81,437 70,775 81,448 772 772 775 Pathum Thani 1 ข้าวเจ้าอื่นๆ757,180 678,719 780,064 756,824 678,220 779,812 557,149 499,011 575,687 736 736 738 Other White Rice อ่างทอง 235,925 241,686 264,893 235,871 241,534 264,787 158,685 161,209 177,872 673 667 672 Ang Thong ข้าวเจ้าปทุมธานี 1 49,833 51,750 56,719 49,833 51,682 56,645 33,868 35,035 38,626 680 678 682 Pathum Thani 1 ข้าวเจ้าอื่นๆ185,321 189,259 207,607 185,267 189,176 207,578 124,332 125,751 138,889 671 665 669 Other White Rice ข้าวเหนียว 771 677"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,52,"185,267 189,176 207,578 124,332 125,751 138,889 671 665 669 Other White Rice ข้าวเหนียว 771 677 567 771 676 564 485 423 357 629 626 633 Glutinous Rice พระนครศรีอยุธยา 658,109 667,394 739,418 657,375 666,775 738,786 488,276 497,381 552,069 743 746 747 Ayutthaya ข้าวเจ้าปทุมธานี 1 16,136 16,551 18,412 16,102 16,530 18,389 11,718 12,082 13,478 728 731 733 Pathum Thani 1 ข้าวเจ้าอื่นๆ641,973 650,843 721,006 641,273 650,245 720,397 476,558 485,299 538,591 743 746 748 Other White Rice นนทบุรี 76,467 78,762 87,823 76,433 78,720 87,800 55,713 56,905 63,711 729 723 726 Nonthaburi ข้าวเจ้าปทุมธานี 1 582 630 694 582 630 692 384 412 455 660 654 658 Pathum Thani 1 ข้าวเจ้าอื่นๆ75,885 78,132 87,129 75,851 78,090 87,108 55,329 56,493 63,256 729 723 726 Other White Rice กรุงเทพมหานคร 74,125 75,393 89,034 74,000 75,254 88,920 48,772 49,415 58,213 659 657 655 Bangkok ข้าวเจ้าปทุมธานี 1 5,881 5,930 6,913 5,867 5,918 6,898 3,789 3,801 4,424 646 642 641 Pathum Thani 1 ข้าวเจ้าอื่นๆ68,244 69,463 82,121"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,52,"5,867 5,918 6,898 3,789 3,801 4,424 646 642 641 Pathum Thani 1 ข้าวเจ้าอื่นๆ68,244 69,463 82,121 68,133 69,336 82,022 44,983 45,614 53,789 660 658 656 Other White Rice ปทุมธานี 202,482 201,279 239,701 202,269 201,031 239,520 146,087 144,046 170,783 722 717 713 Pathum Thani ข้าวเจ้าปทุมธานี 1 28,588 28,139 33,031 28,566 28,139 32,995 20,228 19,866 23,221 708 706 704 Pathum Thani 1 ข้าวเจ้าอื่นๆ173,894 173,140 206,670 173,703 172,892 206,525 125,859 124,180 147,562 725 718 714 Other White Rice นครนายก 158,266 159,964 167,433 157,149 159,010 166,405 104,315 103,727 110,595 664 652 665 Nakhon Nayok ข้าวเจ้าปทุมธานี 1 1,821 1,888 1,959 1,749 1,841 1,924 1,131 1,161 1,217 647 631 633 Pathum Thani 1 ข้าวเจ้าอื่นๆ156,445 158,076 165,474 155,400 157,169 164,481 103,184 102,566 109,378 664 653 665 Other White Rice ปราจีนบุรี 123,572 124,416 134,677 122,603 123,470 133,733 76,301 76,136 83,396 622 617 624 Prachin Buri ข้าวเจ้าปทุมธานี 1 1,628 1,667 1,791 1,628 1,661 1,777 918 930 1,007 564 560"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,52,"617 624 Prachin Buri ข้าวเจ้าปทุมธานี 1 1,628 1,667 1,791 1,628 1,661 1,777 918 930 1,007 564 560 567 Pathum Thani 1 ข้าวเจ้าอื่นๆ121,944 122,749 132,886 120,975 121,809 131,956 75,383 75,206 82,389 623 617 624 Other White Rice ฉะเชิงเทรา 305,701 298,807 319,640 303,876 297,297 318,358 205,455 199,811 215,949 676 672 678 Chachoengsao ข้าวเจ้าปทุมธานี 1 9,994 9,553 10,155 9,944 9,505 10,013 6,282 5,980 6,428 632 629 642 Pathum Thani 1 ข้าวเจ้าอื่นๆ295,707 289,254 309,485 293,932 287,792 308,345 199,173 193,831 209,521 678 674 680 Other White Rice สระแก้ว 31,445 11,730 12,794 31,192 11,550 12,739 19,247 6,851 7,457 617 593 585 Sa Kaeo ข้าวเจ้าปทุมธานี 1 20,866 7,531 8,201 20,684 7,372 8,160 12,954 4,441 4,830 626 602 592 Pathum Thani 1 ข้าวเจ้าอื่นๆ10,579 4,199 4,593 10,508 4,178 4,579 6,293 2,410 2,627 599 577 574 Other White Rice ตราด 2,565 2,520 2,478 2,495 2,478 2,426 1,347 1,321 1,312 540 533 541 Trat ข้าวเจ้าปทุมธานี 1 487 479 468 487 479 468 246 241 237 505 503 506 Pathum Thani 1"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,52,"540 533 541 Trat ข้าวเจ้าปทุมธานี 1 487 479 468 487 479 468 246 241 237 505 503 506 Pathum Thani 1 ข้าวเจ้าอื่นๆ2,078 2,041 2,010 2,008 1,999 1,958 1,101 1,080 1,075 548 540 549 Other White Rice ระยอง 3,250 2,642 2,529 3,237 2,623 2,515 1,775 1,412 1,345 548 538 535 Rayong ข้าวเจ้าอื่นๆ3,250 2,642 2,529 3,237 2,623 2,515 1,775 1,412 1,345 548 538 535 Other White Rice ชลบุรี 33,327 32,053 34,590 33,191 31,936 34,492 22,175 20,674 22,234 668 647 645 Chon Buri ข้าวเจ้าปทุมธานี 1 1,826 1,776 1,906 1,818 1,767 1,901 1,143 1,080 1,153 629 611 607 Pathum Thani 1 ข้าวเจ้าอื่นๆ31,501 30,277 32,684 31,373 30,169 32,591 21,032 19,594 21,081 670 649 647 Other White Rice สมุทรปราการ 13,845 13,397 14,589 13,749 13,112 14,436 9,624 9,068 10,069 700 692 697 Samut Prakan ข้าวเจ้าปทุมธานี 1 1,350 1,324 1,440 1,350 1,298 1,418 873 834 917 647 643 647 Pathum Thani 1 ข้าวเจ้าอื่นๆ12,495 12,073 13,149 12,399 11,814 13,018 8,751 8,234 9,152 706 697 703 Other White Rice ตารางที่ 1.7 ข้าวนาปรังแยกพันธุ์:"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,52,"11,814 13,018 8,751 8,234 9,152 706 697 703 Other White Rice ตารางที่ 1.7 ข้าวนาปรังแยกพันธุ์: เนื้อที่ ผลผลิต และผลผลิตต่อไร่ เป็นรายภาค และรายจังหวัด ปี 2566-2568 (ต่อ) Table 1.7 Second Rice Classified by Plant varieties: Area, production and yield by region and province, 2023-2025 (Continued) สถิติการเกษตรของประเทศไทย Agricultural Statistics of Thailand 24"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,53,"ข้าว: Rice ภาค/จังหวัด เนื้อที่เพาะปลูก (ไร่) Planted area (rai) เนื้อที่เก็บเกี่ยว (ไร่) Harvested area (rai) ผลผลิต (ตัน) Production (ton) ผลผลิตต่อไร่ (กก./ไร่) Yield (kg/rai) Region/ Province2566 2023 2567P 2024 2568f 2025 2566 2023 2567P 2024 2568f 2025 2566 2023 2567P 2024 2568f 2025 2566 2023 2567P 2024 2568f 2025 สมุทรสาคร 2,245 2,225 2,298 2,239 2,222 2,296 1,513 1,514 1,579 676 681 688 Samut Sakhon ข้าวเจ้าอื่นๆ2,245 2,225 2,298 2,239 2,222 2,296 1,513 1,514 1,579 676 681 688 Other White Rice นครปฐม 226,714 225,865 227,096 226,410 225,613 226,888 176,235 172,557 175,031 778 765 771 Nakhon Pathom ข้าวเจ้าปทุมธานี 1 13,007 12,987 13,035 12,982 12,948 13,015 9,807 9,610 9,776 755 742 751 Pathum Thani 1 ข้าวเจ้าอื่นๆ213,707 212,878 214,061 213,428 212,665 213,873 166,428 162,947 165,255 780 766 773 Other White Rice กาญจนบุรี 175,971 171,501 175,932 175,617 171,029 175,603 126,318 120,345 124,734 719 704 710 Kanchanaburi ข้าวเจ้าปทุมธานี 1 107,282 102,935 105,647 107,038 102,746"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,53,"120,345 124,734 719 704 710 Kanchanaburi ข้าวเจ้าปทุมธานี 1 107,282 102,935 105,647 107,038 102,746 105,424 76,101 71,595 74,059 711 697 702 Pathum Thani 1 ข้าวเจ้าอื่นๆ68,689 68,566 70,285 68,579 68,283 70,179 50,217 48,750 50,675 732 714 722 Other White Rice ราชบุรี 152,336 145,670 152,934 152,180 145,465 152,779 107,535 100,441 107,170 707 690 701 Ratchaburi ข้าวเจ้าปทุมธานี 1 37,434 36,418 38,845 37,403 36,345 38,839 26,387 25,128 27,308 705 691 703 Pathum Thani 1 ข้าวเจ้าอื่นๆ114,902 109,252 114,089 114,777 109,120 113,940 81,148 75,313 79,862 707 690 701 Other White Rice สมุทรสงคราม 1,257 1,536 1,680 1,251 1,533 1,678 872 1,064 1,191 697 694 710 Samut Songkhram ข้าวเจ้าอื่นๆ1,257 1,536 1,680 1,251 1,533 1,678 872 1,064 1,191 697 694 710 Other White Rice เพชรบุรี 147,844 81,808 148,714 147,717 81,675 148,560 105,778 57,275 105,042 716 701 707 Phetchaburi ข้าวเจ้าปทุมธานี 1 4,099 2,806 4,952 4,099 2,800 4,942 2,832 1,908 3,402 691 681 688 Pathum Thani 1 ข้าวเจ้าอื่นๆ143,745 79,002"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,53,"4,952 4,099 2,800 4,942 2,832 1,908 3,402 691 681 688 Pathum Thani 1 ข้าวเจ้าอื่นๆ143,745 79,002 143,762 143,618 78,875 143,618 102,946 55,367 101,640 717 702 708 Other White Rice ประจวบคีรีขันธ์ 13,072 2,920 3,856 12,825 2,643 3,725 7,758 1,480 2,113 605 560 567 Prachuap Khiri Khan ข้าวเจ้าปทุมธานี 1 4,364 917 1,218 4,309 875 1,206 2,719 500 704 631 571 584 Pathum Thani 1 ข้าวเจ้าอื่นๆ8,708 2,003 2,638 8,516 1,768 2,519 5,039 980 1,409 592 554 559 Other White Rice ชุมพร 446 389 431 446 389 431 204 173 199 457 445 462 Chumphon ข้าวเจ้าปทุมธานี 1 193 172 191 193 172 191 90 78 89 466 453 466 Pathum Thani 1 ข้าวเจ้าอื่นๆ253 217 240 253 217 240 114 95 110 451 438 458 Other White Rice สุราษฎร์ธานี 1,679 1,253 1,657 1,679 1,233 1,657 793 543 767 472 440 463 Surat Thani ข้าวเจ้าปทุมธานี 1 366 265 348 366 265 348 177 118 165 484 445 474 Pathum Thani 1 ข้าวเจ้าอื่นๆ1,313 988 1,309 1,313 968 1,309 616 425 602 469 439 460 Other White Rice นครศรีธรรมราช 4,314 2,625 4,273 4,294 2,413 4,239 2,016"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,53,"616 425 602 469 439 460 Other White Rice นครศรีธรรมราช 4,314 2,625 4,273 4,294 2,413 4,239 2,016 1,084 2,007 469 449 473 Nakhon Si Thammarat ข้าวเจ้าปทุมธานี 1 242 134 215 242 134 215 115 57 104 475 425 484 Pathum Thani 1 ข้าวเจ้าอื่นๆ4,072 2,491 4,058 4,052 2,279 4,024 1,901 1,027 1,903 469 451 473 Other White Rice พัทลุง 21,700 20,245 19,543 21,700 20,117 19,538 12,017 11,078 10,832 554 551 554 Phatthalung ข้าวเจ้าปทุมธานี 1 3,026 2,956 2,842 3,026 2,956 2,842 1,684 1,626 1,580 557 550 556 Pathum Thani 1 ข้าวเจ้าอื่นๆ18,674 17,289 16,701 18,674 17,161 16,696 10,333 9,452 9,252 553 551 554 Other White Rice สงขลา 41,680 40,054 39,457 41,580 40,003 39,457 21,634 21,083 20,957 520 527 531 Songkhla ข้าวเจ้าปทุมธานี 1 388 364 359 388 364 359 163 156 157 420 429 437 Pathum Thani 1 ข้าวเจ้าอื่นๆ41,292 39,690 39,098 41,192 39,639 39,098 21,471 20,927 20,800 521 528 532 Other White Rice ปัตตานี 18,706 18,019 19,586 18,706 18,019 19,586 10,976 10,425 11,438 587 579 584 Pattani"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,53,"Rice ปัตตานี 18,706 18,019 19,586 18,706 18,019 19,586 10,976 10,425 11,438 587 579 584 Pattani ข้าวเจ้าอื่นๆ18,706 18,019 19,586 18,706 18,019 19,586 10,976 10,425 11,438 587 579 584 Other White Rice นราธิวาส 0 0 185 0 0 185 0 0 96 0 0 519 Narathiwat ข้าวเจ้าอื่นๆ 0 0 185 0 0 185 0 0 96 0 0 519 Other White Rice อื่น ๆ1/ 61 110 120 61 109 120 28 41 53 467 373 442 Others1/ Remark: 1/The others are Krabi and Trangหมายเหตุ: 1/ อื่น ๆ ได้แก่ จังหวัดกระบี่ และตรัง ตารางที่ 1.7 ข้าวนาปรังแยกพันธุ์: เนื้อที่ ผลผลิต และผลผลิตต่อไร่ เป็นรายภาค และรายจังหวัด ปี 2566-2568 (ต่อ) Table 1.7 Second Rice Classified by Plant varieties: Area, production and yield by region and province, 2023-2025 (Continued) สถิติการเกษตรของประเทศไทย Agricultural Statistics of Thailand 25"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,54,"ตารางที่ 1.8 ข้าวโพดเลี้ยงสัตว์: เนื้อที่เก็บเกี่ยว ผลผลิต และผลผลิตต่อไร่ ของประเทศผู้ผลิตที่สำาคัญ 10 อันดับแรก ปี 2565/66-2567/68 Table 1.8 Maize: Harvested area, production and yield of top 10 major countries, 2022/23-2024/25 รูปที่ 1.6 ข้าวโพดเลี้ยงสัตว์: เนื้อที่เก็บเกี่ยว ผลผลิต และผลผลิตต่อไร่ ของประเทศผู้ผลิตที่สำาคัญ 10 อันดับแรก ปี 2566/67 Figure 1.6 Maize: Harvested area, production and yield of top 10 major countries, 2023/24 ข้าวโพดเลี้ยงสัตว์: Maize ประเทศ เนื้อที่เก็บเกี่ยว (1,000 ไร่) Harvested area (1,000 rais) ผลผลิต (1,000 ตัน) Production (1,000 tons) ผลผลิตต่อไร่ (กก./ไร่) Yield (kg/rai) Countries 2565/66 2022/23 2566/67 2023/24 2567/68 2024/25 2565/66 2022/23 2566/67 2023/24 2567/68 2024/25 2565/66 2022/23 2566/67 2023/24 2567/68 2024/25 รวมทั้งโลก1,277,599 1,294,148 1,282,054 1,160,170 1,225,383 1,216,535 908 947 949 World Total สหรัฐอเมริกา 199,069 218,800 209,200 346,739 389,667 386,182 1,742 1,781 1,846 USA จีน 269,188 276,363 279,375 277,200 288,842 292,000"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,55,"ตารางที่ 1.9 ข้าวโพดเลี้ยงสัตว์: เนื้อที่ ผลผลิต ผลผลิตต่อไร่ ราคาที่เกษตรกรขายได้ และมูลค่าของผลผลิต ปี 2558-2567 Table 1.9 Maize: Area, production, yield, farm gate price and value of production, 2015-2024 ข้าวโพดเลี้ยงสัตว์: Maize รูปที่ 1.7 ข้าวโพดเลี้ยงสัตว์: เนื้อที่ ผลผลิต ผลผลิตต่อไร่ และราคาที่เกษตรกรขายได้ ปี 2558-2567 Figure 1.7 Maize: Area, production, yield and farm gate price, 2015-2024 ปี เนื้อที่เพาะปลูก (1,000 ไร่) Planted area (1,000 rais) เนื้อที่เก็บเกี่ยว (1,000ไร่) Havested area (1,000 rais) ผลผลิต (1,000 ตัน) Production (1,000 tons) ผลผลิตต่อไร่ (กก./ไร่) Yield (kg/rai) ราคา ที่เกษตรกรขายได้ (บาท/กก.) Farm gate price (Baht/kg) มูลค่าของผลผลิต (ล้านบาท) Value of production (Million Baht) Year 2558 6,587 6,275 4,029 642 7.73 31,144 2015 2559 6,490 6,445 4,390 681 6.86 30,115 2016 2560 6,579 6,553 4,821 736 6.25 30,131 2017 2561 6,930 6,895 5,069 735 7.96 40,349 2018 2562 7,025 6,522 4,535 695 7.60 34,466 2019 2563 7,083 7,003 4,990 713 7.69 38,375 2020 2564 6,825"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,56,"ตารางที่ 1.10 ข้าวโพดเลี้ยงสัตว์: เนื้อที่ ผลผลิต และผลผลิตต่อไร่ เป็นรายภาค และรายจังหวัด ปี 2565-2567 Table 1.10 Maize: Area, production and yield by region and province, 2022-2024 ภาค/จังหวัด เนื้อที่เพาะปลูก (ไร่) Planted area (rai) เนื้อที่เก็บเกี่ยว (ไร่) Harvested area (rai) ผลผลิต (ตัน) Production (ton) ผลผลิตต่อไร่ (กก./ไร่) Yield (kg/rai) Region/ Province2565 2022 2566P 2023 2567f 2024 2565 2022 2566P 2023 2567f 2024 2565 2022 2566P 2023 2567f 2024 2565 2022 2566P 2023 2567f 2024 รวมทั้งประเทศ6,397,086 6,279,932 6,184,984 6,285,818 6,197,855 6,112,335 4,700,555 4,614,006 4,558,192 748 744 746 Whole Kingdom เหนือ 4,320,362 4,208,767 4,139,377 4,275,410 4,160,308 4,085,188 3,190,756 3,077,434 3,018,535 746 740 739 Northern ตะวันออกเฉียงเหนือ1,185,676 1,164,437 1,143,453 1,139,253 1,142,052 1,133,258 854,610 859,024 860,355 750 752 759 Northeastern กลาง 891,048 906,728 902,154 871,155 895,495 893,889 655,189 677,548 679,302 752 757 760 Central เชียงราย 265,579 222,638 215,013"
